id;name;type;opening_balance;account_number;ifsc;upi_id;notes;deleted;created_at;updated_at
1;about atop geez;BANK;16538.78;surprisingly slip;quinoa thyme;nor pfft;gosh gratefully acceptable;true;2026-04-19T19:37:27;2026-04-20T02:42:37
2;pish;CASH;51.37;around apt atop;crystallize;meh yippee;evenly yippee incidentally;false;2026-04-19T12:14:00;2026-04-20T00:59:48
3;supposing;CASH;24911.8;correctly furthermore franticall;whoever impeccab;surprisingly bah gadzooks;excepting;true;2026-04-19T18:34:43;2026-04-19T11:20:00
4;underneath heavenly;CASH;15794.41;bootleg headline;furthermore;beside;boo stiffen;true;2026-04-20T07:53:08;2026-04-19T09:09:01
5;however athwart;BANK;31659.47;ravioli weatherize;off after uh-huh;duh;badly individual how;true;2026-04-19T17:36:01;2026-04-20T06:41:47
6;until duh furthermore;UPI;11463.19;aboard;railway boo;above;optimistic;false;2026-04-20T03:56:59;2026-04-20T06:17:32
7;dreary exacerbate;UPI;32429.64;ew;across;until per sunbeam;about for slow;true;2026-04-19T17:12:27;2026-04-19T17:58:47
8;of ha;UPI;30797.32;considering yum;peppery into but;not ack coaxingly;supposing tremendously following;true;2026-04-19T19:42:28;2026-04-19T21:19:11
9;loudly oof;BANK;15431.61;flat wiggly why;regarding decent;mmm ouch;forager;true;2026-04-19T14:22:03;2026-04-19T21:29:20
10;dapper;BANK;13581.72;since unless baa;around;reasoning pacemaker joint;shrill unexpectedly yowza;true;2026-04-20T00:37:51;2026-04-19T19:43:49
11;along blank;UPI;32383.83;boohoo than;indeed major;bleakly;before yum astride;false;2026-04-19T11:35:52;2026-04-20T04:21:39
12;for;BANK;28159.26;rich hence;mmm;creamy abaft repurpose;scrutinise;false;2026-04-19T19:02:18;2026-04-19T18:10:19
13;now vacation dimly;CASH;32589.02;jury ill-fated;despite handle;grim near;incinerate;true;2026-04-19T22:56:52;2026-04-19T22:00:54
14;circa accept refer;UPI;11755.92;inquisitively;gah grave wherev;reproachfully colorize;shameless;false;2026-04-19T22:43:21;2026-04-19T14:24:55
15;openly superior avaricious;BANK;22113.63;when haunting;snuggle since;numeracy circulate;kindly deduct abnormally;true;2026-04-20T00:31:04;2026-04-19T20:09:20
16;desk firsthand;UPI;27483.88;unlike legal;apud;certify apropos camouflage;elliptical;true;2026-04-19T16:04:40;2026-04-20T08:04:06
17;tributary er;CASH;1752.41;educated fax boohoo;stained coolly b;providence cease as;round segregate desecrate;true;2026-04-19T23:54:19;2026-04-19T16:50:57
18;option;CASH;7958.38;before cheap kettledrum;sailor so;colossal;highly;false;2026-04-19T12:35:10;2026-04-19T12:34:18
19;hurtful;CASH;13874.61;institute;recovery plus fr;though excitable gee;times till yesterday;true;2026-04-19T13:48:58;2026-04-19T10:07:47
20;replicate quickly energetically;CASH;13904.94;yum;ferociously mill;majestically out loosely;yak;false;2026-04-20T05:41:36;2026-04-20T03:34:35
21;whoever majestic;UPI;27557.58;secularize phooey;atomize excellen;oof lest;oval wide-eyed;false;2026-04-19T11:21:10;2026-04-19T11:44:31
22;upside-down usable;CASH;30022.3;pleasure excepting;like parsnip;continually however;however after recklessly;true;2026-04-19T18:57:44;2026-04-19T17:59:54
23;thorough helpful gum;CASH;10178.6;little subsidy;near;scoff meh madly;ajar growing boohoo;false;2026-04-20T03:50:13;2026-04-19T13:32:21
24;bleach;CASH;1551.79;perfectly um amidst;beyond;flu;highlight culture memorise;true;2026-04-19T12:56:24;2026-04-20T05:59:37
25;veto;UPI;25677.76;doorpost;airmail nor;because;following motionless;false;2026-04-19T17:54:19;2026-04-19T09:22:45
26;since;CASH;5982.61;er;yet quit;pish apud;elver retract coolly;false;2026-04-20T05:27:58;2026-04-19T19:34:19
27;softly youthfully among;UPI;12897.53;that;save astride gah;what drat upsell;lest dead;true;2026-04-19T18:51:30;2026-04-19T22:47:50
28;gleefully what yuck;CASH;28014.41;bracelet fax privilege;along;wherever lowball;scented plus;false;2026-04-19T22:13:10;2026-04-20T01:56:37
29;knit beyond scared;CASH;7528.76;whenever instead baritone;wonderfully exce;vibrant baggy;naturally;true;2026-04-19T10:26:48;2026-04-19T10:06:11
30;upwardly unless before;BANK;6867.08;wear gah brandish;impostor questio;than greatly beneath;down orderly;true;2026-04-19T14:59:14;2026-04-19T09:26:15
