id;name;owner_name;mobile;email;logo_url;gst_number;pan_number;city;state;billing_line_1;billing_line_2;billing_city;billing_state;billing_pincode;shipping_line_1;shipping_line_2;shipping_city;shipping_state;shipping_pincode;shipping_same_as_billing;currency;fy_start_month;has_data;created_at;updated_at
1;sweetly hence times;suspiciously official nudge;"6575941907";Lionel_OHara13@gmail.com;allocation;"69ETNML9305URZM";"OKFEJ2353M";Fort Wendell;shaft;stake;misspend;blink plus;considering alongside;"255193";vice powerless countess;tenant blah wherever;headline;anti wherever;"873209";true;tow;12;false;2026-04-19T18:01:16;2026-04-19T14:49:39
2;valley lawful exhaust;inside;"8851945595";Calvin_Runte49@gmail.com;except;"80AZIQP0368LAZN";"ONTOK3099A";Shanonview;yippee nor ha;whoa;aha playfully finally;disarm lest;aw;"460123";tall so antique;help fly merit;beside;but;"471756";false;unn;2;false;2026-04-19T21:16:45;2026-04-20T04:58:55
3;er icy transplant;perfectly venture bah;"7461134882";Krystal84@yahoo.com;subdued seagull;"18JUGVK8903HQZP";"BAUHQ7856S";Fredericchester;bitterly rebuke;considerate for;that by;bah shadowbox;by;"651834";avow bludgeon hm;narrowcast deflate scarcely;gown relaunch;which;"390527";false;ath;4;true;2026-04-20T07:14:26;2026-04-20T04:10:52
4;dimly unbearably;shark entry wrathful;"6313564839";Lillian.Cronin34@yahoo.com;shrill meh;"53VOBRI5471DRZ0";"NOBPJ0787C";East Craig;rim;carelessly whoa markup;hmph;boo yum ack;supposing adolescent tackle;"773014";gadzooks furthermore apud;meh yowza;sermon octave;shoulder;"900746";false;slu;11;true;2026-04-19T13:29:48;2026-04-19T18:50:44
5;insecure both yowza;abaft puny oh;"8487479490";Susie_Nitzsche@gmail.com;phew lounge;"24WULZJ7242IJZR";"MCLXA8030E";East Friedrichton;consign dishearten underneath;libel after;necessary;bad menacing;stigmatize scrutinise;"378686";disloyal;ick;rapidly cleverly;gee ick;"157585";true;hel;6;false;2026-04-19T11:09:21;2026-04-19T13:41:16
6;beyond;observe fast insist;"7811324117";Veronica_Hahn@yahoo.com;captain gosh;"00WHZRS0522TLZF";"JRUME7111Z";North Kaycee;clear agile;including memorable meanwhile;instead off pension;pfft;wherever ah;"373477";colorfully fondly;upright parody;after behind complication;boo sandbar coexist;"688000";true;exp;3;false;2026-04-19T19:29:08;2026-04-20T07:24:01
7;practical;comb abaft crumble;"6861468196";Tatum.Rohan@yahoo.com;which scamper dowse;"48KFVMQ3935RYZ5";"NEVRD6208G";Port Odessa;train defrag;blah;boo birth;ha hm yet;near;"645999";freely;silk;innocently early;premise above;"811677";false;tom;5;true;2026-04-19T11:56:09;2026-04-19T16:15:46
8;minus flustered;hence given scorn;"8958422424";Edna4@gmail.com;institute;"86DHSOJ8266QXZ4";"FUKZG2932F";Helenastad;guilt trouser;hawk daintily;shyly upside-down following;deafening although;rawhide far thorough;"579189";er fat;supposing;absent duh;well anti deform;"862835";false;ple;3;false;2026-04-19T11:17:03;2026-04-19T09:52:41
9;finally specific;round bustling ew;"7749184928";Tracy.Schneider@hotmail.com;whether;"74QSKVT8011QVZT";"FKWIW8694Q";Simonisfurt;when blah;pricey including;than yearly;inquisitively indeed;who mammoth scotch;"614468";metallic;psst vice;snoopy sidetrack;shyly;"443766";true;vac;11;true;2026-04-19T19:24:51;2026-04-19T09:44:36
10;than stay;athwart;"8491279206";Miller89@yahoo.com;monster;"12IJFBC6335J5Z3";"RHIJV7276F";Port Pietro;annual whereas;finally;inasmuch;ha bleakly;heavy gallery ruin;"914460";provided if;birdbath doubter solemnly;lest grizzled;oof amongst whether;"207866";false;oh ;9;false;2026-04-19T12:48:19;2026-04-19T19:36:34
11;mmm part;tough watery throughout;"6835050773";Curtis.Johnson15@yahoo.com;astride;"81JZSKH0125EWZP";"KFNSO2512T";West Liana;loyally huzzah unless;minus;sushi;despite interesting midst;pressure;"608875";ah nor glaring;alongside rare;wherever;until steel lonely;"138211";true;ben;3;false;2026-04-19T10:28:49;2026-04-20T05:52:33
12;shameless close alongside;lid circulate yahoo;"9103936951";Marcos_Schulist@hotmail.com;incomparable;"05NGVJW8031ENZB";"RGNLO1376Z";Goyetteview;strictly;considering meh;nectarine needily after;allegation;verbally before management;"250522";oh till entrench;of salty geez;petal speedily;er voluntarily refute;"167073";false;cap;9;true;2026-04-19T14:19:52;2026-04-19T13:04:23
13;approximate so;function impartial;"7395675062";Jessie61@yahoo.com;hm;"66ODDVX2644RWZZ";"PGXHA1673A";West Bridget;prance obnoxiously log;pish messy past;likewise furthermore brr;rightfully that since;um;"767700";oval;until er profane;anenst but;oh;"679443";false;dep;8;false;2026-04-19T23:10:25;2026-04-20T01:16:00
14;tune-up huzzah guest;westernize like failing;"6820251973";Randall_Daniel@gmail.com;whenever;"98JAECM6376HKZ4";"ZELON0324G";Auburn;unknown pink gee;after yowza because;until soup;hm;via bravely among;"663613";now;lone;grandiose fervently;old likely ouch;"216583";false;sym;8;true;2026-04-20T08:20:41;2026-04-20T01:50:16
15;whether sashay disloyal;showy;"9298577502";Kyleigh_Kerluke72@gmail.com;charlatan quinoa cash;"77LUNCY3822MLZA";"MPEOI5290M";Lake Ludie;crackle the;after;boohoo fisherman;beside;why ugh;"237134";an blank;shadowy ditch;at;miserably forager;"868543";true;sub;7;false;2026-04-19T23:08:39;2026-04-19T15:13:09
16;remarkable elderly;morning provided as;"7418461533";Bernard.Franey23@hotmail.com;potentially;"65KRXFH5492DSZN";"IJETB0849S";South Freemanburgh;yahoo;yum pike eek;upliftingly of;coincide bah;keenly;"664503";perfumed owlishly;restfully uh-huh kettledrum;that bah;before;"818224";false;leg;3;false;2026-04-20T08:08:09;2026-04-20T01:27:06
17;yuck;habit frightened towards;"6207455643";Birdie.Heathcote@gmail.com;because;"16OVMBX0799FDZC";"RMXWW1809I";Mosciskibury;utter fake across;wildly;pointless among;bloom lively ew;hoick now;"826066";dividend;furthermore whether extent;till as;reproach into;"591304";true;fur;7;false;2026-04-19T10:07:31;2026-04-20T07:20:41
18;until artistic almost;hovercraft tuber whoa;"9953636269";Riley_Block@hotmail.com;puzzled helpfully closely;"71NAKPU0287LOZA";"YIQPB3147O";East Sandrinefield;enroll amidst;ah major;but resource coast;inventory;camouflage;"688453";clear;generously;awareness whoever whether;oof duh;"630288";false;ugh;9;true;2026-04-19T11:19:03;2026-04-20T01:56:45
