id;name;type;mobile;email;address_line_1;address_city;address_state;address_pincode;gst_number;pan_number;credit_limit;payment_terms_days;opening_balance;balance;created_at;updated_at;deleted
1;boldly psst if;BOTH;"8674992402";Allison.Ullrich77@yahoo.com;against overcharge needily;beneath flood greedily;precedent coaxingly meander;"944456";"80SOIKB0644OKZK";"VEEWX4642B";32515.63;451;10335.6;19301.13;2026-04-19T15:07:58;2026-04-20T05:28:31;true
2;ah surprisingly singe;CUSTOMER;"6278446962";Timmothy46@yahoo.com;substantial cheetah in;softly from;brood finally;"509299";"07HOOMP7526UMZP";"CPYGU9709X";28639.91;502;30280.19;29181.35;2026-04-19T11:58:47;2026-04-20T03:32:13;false
3;favorite under brightly;BOTH;"9518993178";Ryleigh.Roberts19@yahoo.com;snowplow;cute against;decriminalize;"275899";"18VRTPZ0025LRZZ";"MGYZY7600U";28053.34;1944;12294.87;32030.03;2026-04-19T14:45:31;2026-04-19T10:47:33;true
4;reproach chip forecast;BOTH;"9865988365";Alessandro51@hotmail.com;necessary ravioli;equally;lend sensitize resort;"294921";"51XCOLP6416OAZ7";"RIOCD2726B";16423.62;1869;13643.33;28347.48;2026-04-20T01:14:37;2026-04-19T09:13:36;true
5;slope intermesh mortally;CUSTOMER;"9864075334";Pat3@gmail.com;interviewer;between gah consequently;boldly;"631575";"67MPGSX2877UFZQ";"JNQKS7917O";9533.67;2435;26341.54;30334.34;2026-04-20T04:15:41;2026-04-20T03:49:29;true
6;austere shrill;SUPPLIER;"7733466966";Tavares.Donnelly85@yahoo.com;putrid;powerless tut splurge;membership hydrocarbon;"263817";"33PVYIO5065OAZ7";"WJJYN9120A";6300.68;2436;27851.37;4510.43;2026-04-19T23:27:59;2026-04-20T02:59:50;true
7;interestingly incidentally yahoo;SUPPLIER;"9126411363";Irving_Abshire@hotmail.com;stable dearly which;madly dandelion appropriate;lace hence instead;"466588";"52YFAMU7741DIZR";"QUYUO6040G";1973.31;2741;25112.84;11023.37;2026-04-19T14:20:55;2026-04-20T09:02:35;true
8;viciously psst;SUPPLIER;"8272974000";Devin99@hotmail.com;crowded given helplessly;militate loftily;instead vacation;"711633";"14LABLR2874NVZX";"BNVCB9672R";9665.91;60;7490.29;16388.03;2026-04-19T14:27:12;2026-04-19T23:42:06;false
9;gripping;BOTH;"7737875846";Wade_Erdman56@yahoo.com;badly yahoo idle;coolly thigh live;oof ha;"228080";"09JAANN5156QHZV";"PGNDC4058Q";22781.96;2476;30896.4;1831.72;2026-04-19T22:16:50;2026-04-19T18:14:04;false
10;outside surprise;CUSTOMER;"7797180075";Alexandrea_OHara54@gmail.com;whether;damp;though fail almost;"697243";"79OPQAA9070LUZH";"XGPEB9356N";10769.98;2006;27337.77;21542.11;2026-04-19T10:16:19;2026-04-19T21:04:24;false
11;poorly finally;BOTH;"9313998843";Elena48@gmail.com;across distinct ah;ack yahoo;meanwhile low;"211611";"52FDBCU3756G6Z8";"ZSHYC5873R";29352.61;3077;15412.89;23094.51;2026-04-19T12:42:26;2026-04-20T02:53:12;false
12;petticoat fooey vice;BOTH;"7459739350";Jeannie31@gmail.com;section essay hurtful;inspection;following if;"903038";"02OICQT2218LUZN";"XWHXM5597O";6021.91;2729;21609.71;16182.22;2026-04-19T19:18:12;2026-04-20T07:33:57;false
13;haul;SUPPLIER;"8264425399";Viva.Jones@yahoo.com;nauseate hm;planula dispose;barge slide scorn;"650039";"87YOJYY1929ZOZ9";"OPJZO5265E";14848.5;3431;24528.08;20887.08;2026-04-19T17:08:24;2026-04-19T20:50:54;false
14;importance;CUSTOMER;"8349389875";Kirk.Walker69@yahoo.com;exasperation properly darling;usable ugh;afore boo um;"995271";"67IDMLD5035JMZ3";"WVZHH1031T";31996.24;1669;13307.77;10073.01;2026-04-20T08:09:27;2026-04-19T13:13:56;true
15;ragged;BOTH;"6767473872";Stephanie.Heidenreich96@gmail.com;likable normal reflate;finally under;rotating;"507244";"68LWIXM0664I3ZN";"FNZND2552R";24015.11;692;22139.37;889.82;2026-04-20T03:45:30;2026-04-19T20:15:11;true
16;lest yowza adventurously;SUPPLIER;"8270484656";Brandon35@yahoo.com;gee skeleton;availability when;hastily;"156223";"56IDEKH9711ZDZ6";"HDPCR3251P";28820.76;3149;620.54;13807.93;2026-04-20T06:56:54;2026-04-19T10:42:10;true
